Skill ID,Skill Name,Created Date,Purpose,When to Use,Where to Use,How to Use,Input Requirements,Expected Output,Status,Version,Notes,Files
011,/product-description-writer,2026/07/14,"Turns a product name and a list of features into a polished, ready-to-publish product description.",Whenever a new product listing needs description copy written.,"E-commerce content prep, before a listing goes live.","Type /product-description-writer followed by the product name, then give it the feature list. (See the install guide below.)","The product name plus its features or specs, as a list. A preferred tone or target length is optional.","A polished title (if needed) and a finished description, in plain text or simple Markdown, ready to paste straight into a listing.",Testing,Version 1.0,"Uses Digitweb Lanka's standard tone — clear, benefit-led, UK English — and never makes up a product detail it wasn't given.",
012,/order-summary-report,2026/07/14,"Reads an orders CSV and gives you the headline numbers: total orders, total revenue, and your top 3 best-selling products.",Whenever you need a quick revenue and top-seller snapshot from an orders export.,Basic order and revenue reporting for e-commerce.,Type /order-summary-report followed by the path to your CSV. (See the install guide below.),"An orders CSV with an order ID, an order total, and a product name or item column.","A plain-text summary: total orders, total revenue, and your top 3 products by quantity — plus a note on any rows it had to skip and why.",Testing,Version 1.0,"Read-only — never edits your CSV, and never makes up a number it can't actually calculate from the data.",
013,/order-status-summary,2026/07/14,"Reads an orders CSV and sorts every order into a clear status bucket — delivered, cancelled, on time, or delayed — so you can spot problems fast.","Whenever you need to check delivery status across a batch of orders, especially to catch delays.",Order operations and delivery monitoring.,Type /order-status-summary followed by the path to your CSV. (See the install guide below.),"An orders CSV with order ID, customer name, order date, ship date, expected delivery date, and status columns.","Counts for each status bucket, plus a table of delayed orders sorted worst-first, so the most overdue ones are easy to spot.",Testing,Version 1.0,"If a required column is missing, it stops and asks you to fix the file rather than guessing at the answer.",
014,/skill-finder,2026/07/23,"Compares a task you're about to do against every skill already in this project and tells you exactly what to do with it — reuse a skill as-is, reuse it with different inputs, combine a few, extend one, build something new, or hand the call to a human.","Whenever you're not sure which skill fits a task, or want to check whether you actually need to build something new before you start.","Anywhere in this project, right before deciding how to tackle a new task.",Type /skill-finder followed by a description of the task. If that's too vague, it'll ask one quick follow-up question first.,"A short description of the task you're trying to do — the more specific, the better the comparison.","A short report in chat: which skills it considered, how each one compares, and one clear recommendation with the reasoning behind it. It also flags if CLAUDE.md's skill list doesn't match what's actually on disk.",Testing,Version 1.0,"Read-only and chat-only — it never creates, edits, or deletes any skill file, and never saves its report anywhere. It only recommends; acting on that recommendation (building, extending, or combining skills) is always a separate request.",
015,/grill-me,2026/07/24,"Stress-tests any plan, design, or decision — a new skill idea, an architecture choice, a process change — by asking one question at a time, each with a recommended answer, until every decision, dependency, assumption, risk, and branch is nailed down.","Say things like “grill me on this,” “stress-test this plan or idea,” “poke holes in this,” or “make sure I've thought of everything” — anytime you're about to commit to something that hasn't been fully thought through.","Anywhere in this project, right before committing to a plan, design, or decision — pairs naturally before /skill-builder's own discovery interview, but isn't limited to skills.","Type /grill-me followed by the plan or topic, or just say you want it grilled and point at what's being discussed — Claude will use whatever's already in the conversation if you don't specify a topic.","A plan, idea, or design to interrogate — given as an argument, or just whatever's currently being discussed. Nothing else needed to start.","A one-question-at-a-time interview in chat, each with a recommended answer you can pick with one click — tracked as a visible task list until every open item is resolved. Ends with a structured summary of every decision made; no file is written unless you ask.",Testing,Version 1.0,"Never builds or implements anything itself, even once the plan becomes fully clear — it only interrogates and hands back a resolved plan as a separate follow-up. If the open-items list grows past roughly 15-20, it pauses to suggest splitting the plan into smaller pieces instead of continuing indefinitely.",
016,/evidence-pack-builder,2026/07/24,"Builds a reusable, traceable evidence pack for completed work — task brief, source references, queries/scripts, raw extracts, validation results, screenshots, assumptions, limitations, a decision log, and a final-output reference, all in one auditable folder.","Say things like “build an evidence pack for this,” “document proof of this work,” “compile the evidence for this task,” or “I need a paper trail for this” — anytime completed work needs organized, traceable proof.","Anywhere in this project, right after finishing a task that needs an audit trail — works the same way for any department or task type.","Type /evidence-pack-builder followed by the task or topic, or just ask for an evidence pack — Claude uses whatever was just completed in the conversation if you don't specify a topic.","A completed task to document — as an argument, or just whatever was just finished in the conversation. Any gaps (like screenshot file paths) are asked for directly.","A new output/evidence-packs/<task-slug>/ folder with a README.md index plus one file per component, each marked Available, Not provided, or Not applicable — never fabricated.",Testing,Version 1.0,"Never modifies the original source/task files it documents — only reads from and copies into the pack. Redacts credentials, secrets, and personal/sensitive information before writing anything, and keeps raw evidence strictly separate from analysis, with every conclusion linked to the raw file(s) that support it.",
017,/mcp-access-guide,2026/07/24,"Teaches beginners how MCP (Model Context Protocol) connects Claude to real company systems, using one interactive, explorable diagram — verifies connector availability where possible and explains data access, permissions, and ownership.","Ask things like “how does MCP work,” “what can Claude access,” “explain our connectors,” “onboard me to MCP,” or “do I have access to X.”","Anywhere someone needs to understand what Claude can actually reach in this project and why — especially useful early on, alongside /start.","Type /mcp-access-guide, or just ask how MCP or your connectors work — Claude checks what's actually live in the session before answering.","Nothing required to start. If you ask about a specific connector, it re-checks live availability before answering rather than relying on memory.","One interactive Artifact (a clickable diagram: User → Claude → MCP Server → Company System → Data) plus a connector panel, walked through conversationally. Every connector status is labeled exactly Live verified, Registry verified, Demo only — Needs confirmation, or Installed — Not authenticated.",Testing,Version 1.0,"Never stores or displays secrets, and never modifies configuration, connections, or permissions — teaching and diagnosis only. Demo/simulated connectors are always clearly labeled as such, never presented as real results.",
018,/task-closure,2026/07/27,Checks whether a task is genuinely ready to close — nine areas verified against real evidence before it's marked done.,"Say things like “is this ready to close,” “can we close this out,” or “verify this is done” — anytime before marking a task complete.","Anywhere in this project, right at the end of any task — before committing, publishing, or reporting something as finished.","Type /task-closure, optionally followed by the task name — or just ask if it's ready to close and Claude will use whatever was just completed in the conversation.","A task or topic name — as an argument, or just whatever was just finished in the conversation. If it's not clear which task, Claude asks first rather than guessing.","A structured report in chat: a table tracing each original requirement to its evidence, nine dimension checks (requirements, deliverables, validation, assumptions, evidence, approvals, temporary files, unresolved issues, handoff), and exactly one closure decision — COMPLETE, COMPLETE WITH LIMITATIONS, REVIEW REQUIRED, BLOCKED, or INCOMPLETE.",Testing,Version 1.0,"Never modifies, publishes, or deletes anything without asking first, action by action — including cleaning up leftover temporary files. Never marks anything Confirmed without real evidence behind it, and never treats silence as confirmation that nothing's outstanding. Pairs with /first-task-mapper and /evidence-pack-builder as the closing check of a task.",
019,/claude-code-basics,2026/07/27,"A hands-on, one-topic-at-a-time lesson in the physical mechanics of using VS Code and Claude Code — not the conceptual architecture start/new-joinee teach, but the actual buttons, panels, and prompts a beginner is looking at.","Type /claude-code-basics directly — it doesn't auto-trigger from conversation, so point a beginner to it explicitly once they need the how-do-I-actually-use-this-thing basics.","Anywhere a total beginner needs to learn VS Code + Claude Code mechanics — opening a folder, the Explorer, the panel, slash commands, the terminal, and reviewing edits — before or alongside /start.","Type /claude-code-basics. Works through nine topics one at a time, each with a short explanation, a demo where possible, a small exercise, and a comprehension check you have to actually pass before moving on.","Nothing needed to start — a quick self-assessment lets you skip topics you already know. You can pause, repeat, ask for another example, or stop at any point.","A guided, interactive lesson in chat — including two real, live permission prompts (creating and editing a practice file) so you experience the actual Accept/Reject UI, not just a description of it. Optionally saves a cheat sheet to onboarding-output/ at the end.",Testing,Version 1.0,"Deliberately excludes Write and Edit from its own pre-approved tools, so every file operation in the lesson triggers a genuine approval prompt for you to practice on. Can't demonstrate UI-only topics like the Explorer directly since Claude can't see your screen — those rely on you describing what you see instead. Complements, not replaces, /start and /new-joinee.",
020,/daily-work-tracker,2026/07/28,"Guides an employee through creating, reviewing, editing, and safely maintaining one verified daily status entry per work date, plus first-time setup and a self-attested admin identity correction.","Whenever an employee needs to record today's (or a past) work update, check whether today's entry is complete, or correct a wrong name/ID on file. Triggers on natural language (“record my daily work”, “update today's tracker”) or by typing /daily-work-tracker directly.",Anywhere in this project when tracking daily work status is needed — typically once per workday.,"Type /daily-work-tracker, optionally followed by an action: today / a date / view [date] / edit [date] / setup / status [date] / admin-update-identity. First-time use triggers guided setup.","Employee name and ID (first-time setup only); per entry: working times, completed work, work in progress, blockers, evidence/notes, next actions — conversational or pasted.","A verified Markdown entry saved to output/daily-work-tracker/<employee-id>/<year>/<YYYY-MM-DD>.md, with a completion status report. Weekday-only; leave/holiday days are employee-declared. Reminder automation is a documented future phase, not implemented.",Testing,Version 1.0,"Uses three PowerShell helper scripts for deterministic state — the only skill in this repo with executable scripts. admin-update-identity is self-attestation + audit-log, not a real authorization check.",
021,/record-a-skill,2026/07/31,"Turns evidence of a demonstrated workflow — or a live guided walkthrough — into a confirmed, reusable workflow specification: stable rules separated from runtime data, decisions/dependencies/approvals/exceptions/validation requirements identified, every material item tagged with provenance and confidence, then handed to skill-builder to build or extend the actual skill.","Whenever you have evidence of a workflow (transcripts, screenshots, event logs, example inputs/outputs, SOPs, or an existing skill to update) — or want to teach Claude a process live, one stage at a time — and want it captured as a durable, reusable skill instead of a one-off result. User-invocation only: type /record-a-skill directly; Claude never auto-triggers this from natural language.","Anywhere in this project when a demonstrated or described workflow should become a proper, reusable Claude Code skill.","Type /record-a-skill, optionally followed by a workflow name and/or an evidence file path. Confirms an intake mode (pre-processed evidence, live guided walkthrough, or both), screens evidence for sensitive content, reconstructs the workflow with provenance/confidence tagging, asks for explicit project-or-personal scope, delegates an overlap check to existing-asset-finder, then hands the confirmed specification to skill-builder — with a confirmation gate before every persistent write.","Evidence of a demonstrated workflow (transcripts, screenshots, event logs, example input/output files, SOPs/checklists, or an existing skill for an update) and/or a live typed walkthrough. Raw video/audio files aren't supported — convert to a supported format first.","A confirmed output/record-a-skill/<task-slug>/workflow-specification.md (with supporting analysis/ and raw/ folders), and — once approved — a new or extended skill built by skill-builder. Nothing is committed or pushed to Git automatically.",Testing,Version 1.0,"Delegates overlap discovery to existing-asset-finder and final skill construction/testing to skill-builder — never edits a target skill directly. Screens evidence across three layers (pattern rules, semantic review, user confirmation) before any write; raw evidence and staging artifacts are git-ignored and never become runtime dependencies of the generated skill.",
022,/aios-structure-build,2026/07/31,"Scaffolds the exact, frozen AIS-OS starter-kit folder structure into an empty target directory, then cryptographically verifies the result before reporting success. Portable and self-contained — all template content and its verification manifest ship inside the skill's own folder.",Whenever you need a brand-new project seeded with the frozen AIS-OS baseline structure. User-invocation only: type /aios-structure-build directly; Claude never auto-triggers this from natural language.,In an empty target directory (tolerates only pre-existing sibling aios-structure-* skill folders under .claude/skills/) — works installed personally or project-locally with no changes.,"Type /aios-structure-build. Runs the bundled build.ps1: preflight-verifies every template's SHA-256 against manifest.json, confirms the target is empty, writes the baseline tree, re-verifies every written file's hash, then reports. Any failure triggers automatic rollback of only what that attempt created.",None beyond an empty (or near-empty) target directory.,"The full frozen AIS-OS baseline tree (9 directories, 14 files) written to the target, with a created/preserved report and a hard pass/fail verification result.",Testing,Version 1.0,"Sibling of aios-structure-organize (repairs) and aios-structure-validate (read-only check) — only ever targets a fresh, empty directory. Never touches git or registers itself in the scaffolded project's frozen CLAUDE.md/decisions log.",
023,/aios-structure-organize,2026/07/31,"Additively repairs an existing AIS-OS project by creating whatever's missing against the frozen starter-kit baseline, via a dry-run plan followed by explicit confirmation. Never overwrites, deletes, or moves anything that already exists.",Whenever an existing AIS-OS project is missing baseline files or directories and you want them restored without touching anything already present. User-invocation only: type /aios-structure-organize directly; Claude never auto-triggers this from natural language.,In an existing AIS-OS project only — redirects (exit 2) if no AIS-OS identifying files are found. Works installed personally or project-locally with no changes.,"Type /aios-structure-organize. Runs organize.ps1 without -Apply first for a dry-run plan of what's missing; confirms with you via AskUserQuestion; only on explicit yes, re-runs with -Apply to create the missing items. Never skips the dry-run -> confirm -> apply sequence.",An existing AIS-OS project (detected via 7 distinctive baseline files). One explicit yes/no confirmation before anything is written.,"Only the missing baseline items get created — existing files, even if drifted, are left completely untouched. Reparse-point collisions reported as blocked, not silently written through.",Testing,Version 1.0,"Highest-risk sibling — the only one writing to an already-in-use project. Deliberately narrower than validate's full issue set (missing items only, never drift/anti-patterns). Never touches git.",
024,/aios-structure-validate,2026/07/31,"Read-only structural check of an existing AIS-OS project against the frozen starter-kit baseline — reports missing items, structural drift, non-empty placeholders, and anti-pattern clutter, each with a concrete manual fix. Not a maturity score (see /audit for that, if installed).","Whenever you want to check whether an AIS-OS project's file tree literally matches the frozen baseline, without changing anything. User-invocation only: type /aios-structure-validate directly; Claude never auto-triggers this from natural language.",In an existing AIS-OS project only — redirects (exit 2) if no AIS-OS identifying files are found. Works installed personally or project-locally with no changes.,"Type /aios-structure-validate. Runs validate.ps1: preflight-verifies its own bundled templates, scans the target against the baseline, then reports categorized issues. Optionally offers to save the report to validations/validate-{date}.md on explicit consent.",An existing AIS-OS project (detected via 7 distinctive baseline files). One optional yes/no consent if you want the report saved.,"A PASS message, or a categorized report (Missing / Structural Drift / Non-Empty Placeholders / Unrecognized Items), each with a concrete fix line. Never flags content-mutable files for content changes.",Testing,Version 1.0,"Sibling of build (fresh scaffold) and organize (additive repair) — only ever reads, with one optional consented report write. Never deep-recurses into node_modules/, .git/, or growth-folder internals.",
